date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:17	27742/27742	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:33:03%20GMT	https://nyerihigh.sc.ke/teaching-staff	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/teaching-staff.html	(from https://nyerihigh.sc.ke/index)
10:12:17	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:17%20GMT	https://nyerihigh.sc.ke/clubs-societies.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/clubs-societies.html	(from https://nyerihigh.sc.ke/index)
10:12:17	18789/18789	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:19:56%20GMT	https://nyerihigh.sc.ke/curriculum	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/curriculum.html	(from https://nyerihigh.sc.ke/index)
10:12:17	16213/16213	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:17:23%20GMT	https://nyerihigh.sc.ke/clubs-societies	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/clubs-societies.html	(from https://nyerihigh.sc.ke/index)
10:12:18	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:18%20GMT	https://nyerihigh.sc.ke/welfare-and-boarding.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/welfare-and-boarding.html	(from https://nyerihigh.sc.ke/index)
10:12:18	16159/16159	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:34:43%20GMT	https://nyerihigh.sc.ke/welfare-and-boarding	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/welfare-and-boarding.html	(from https://nyerihigh.sc.ke/index)
10:12:18	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:18%20GMT	https://nyerihigh.sc.ke/the-chapel.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/the-chapel.html	(from https://nyerihigh.sc.ke/index)
10:12:19	18040/18040	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:34:14%20GMT	https://nyerihigh.sc.ke/the-chapel	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/the-chapel.html	(from https://nyerihigh.sc.ke/index)
10:12:19	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:19%20GMT	https://nyerihigh.sc.ke/alumni.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/alumni.html	(from https://nyerihigh.sc.ke/index)
10:12:20	24031/24031	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:06:47%20GMT	https://nyerihigh.sc.ke/alumni	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/alumni.html	(from https://nyerihigh.sc.ke/index)
10:12:20	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:20%20GMT	https://nyerihigh.sc.ke/news-blogs.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/news-blogs.html	(from https://nyerihigh.sc.ke/index)
10:12:21	22936/22936	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:23:21%20GMT	https://nyerihigh.sc.ke/news-blogs	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/news-blogs.html	(from https://nyerihigh.sc.ke/index)
10:12:21	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:21%20GMT	https://nyerihigh.sc.ke/non-teaching-staff.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/non-teaching-staff.html	(from https://nyerihigh.sc.ke/index)
10:12:21	140223/140223	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:12%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-1.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-1.jpg	(from https://nyerihigh.sc.ke/index)
10:12:21	20590/20590	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:24:14%20GMT	https://nyerihigh.sc.ke/non-teaching-staff	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/non-teaching-staff.html	(from https://nyerihigh.sc.ke/index)
10:12:22	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:21%20GMT	https://nyerihigh.sc.ke/sch-downloads.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/sch-downloads.html	(from https://nyerihigh.sc.ke/index)
10:12:22	29900/29900	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Sep%202025%2010:06:17%20GMT	https://nyerihigh.sc.ke/sch-downloads	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/sch-downloads.html	(from https://nyerihigh.sc.ke/index)
10:12:22	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:22%20GMT	https://nyerihigh.sc.ke/gallery.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/gallery.html	(from https://nyerihigh.sc.ke/index)
10:12:23	30722/30722	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:20:53%20GMT	https://nyerihigh.sc.ke/gallery	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/gallery.html	(from https://nyerihigh.sc.ke/index)
10:12:23	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Oct%202025%2007:12:23%20GMT	https://nyerihigh.sc.ke/contact.html	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/contact.html	(from https://nyerihigh.sc.ke/index)
10:12:24	19776/19776	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20May%202025%2012:36:38%20GMT	https://nyerihigh.sc.ke/contact	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/contact.html	(from https://nyerihigh.sc.ke/index)
10:12:25	142165/142165	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Aug%202022%2015:37:18%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-nhs-01.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-nhs-01.jpg	(from https://nyerihigh.sc.ke/index)
10:12:28	103017/103017	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Aug%202022%2016:10:55%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-nhs-05.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-nhs-05.jpg	(from https://nyerihigh.sc.ke/index)
10:12:28	206897/206897	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2009:54:19%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-nhs-02.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-nhs-02.jpg	(from https://nyerihigh.sc.ke/index)
10:12:28	298191/298191	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Oct%202021%2012:46:16%20GMT	https://nyerihigh.sc.ke/img/img-bg/bg-nhs-03.jpg	C:/Users/Hardware/Desktop/NYERI/nyerihigh.sc.ke/img/img-bg/bg-nhs-03.jpg	(from https://nyerihigh.sc.ke/index)
